質問ID,質問,想定回答,正解案件ID,分類,Graphが必要か,検索計画,評価区分
Q01,想定職種がMLOpsの案件を教えて,職種列に MLOps とある行だけ。関連職種は含めない,"P001, P002, P003, P010, P014, P016, P017, P023, P026, P028",事実引き,不要,Q01,development
Q02,必要スキルに MLflow が書いてある案件はどれ？,スキル列に MLflow がある行。類似の実験管理ツールは含めない,"P001, P003, P014",事実引き,不要,Q02,development
Q03,Kubernetes を必須スキルにしている案件の概要を教えて,スキル列に Kubernetes / k8s がある行の概要を返す,"P004, P005, P013, P015, P018, P020, P021, P028",事実引き,不要,Q03,development
Q04,案件ID P003 の想定職種と必要スキルは？,その1行の事実だけ。周辺案件を足さない,P003,事実引き,不要,Q04,development
Q05,Python を使って、かつ金融ドメインの案件は？,スキルに Python、かつ概要／ドメインが金融。片方だけは除外,"P003, P012, P017, P019, P027",横断,半々,Q05,development
Q06,Kubernetes 上でモデルを配信する案件は？,k8s だけでなく、serving / 推論API / モデル配信の記述がある行,"P004, P015, P028",横断,半々,Q06,development
Q07,データパイプラインとモデル監視の両方に触れる案件は？,ETL/パイプライン系と、推論監視/性能監視の両方が同一案件にある行,"P010, P028",横断,ややGraph,Q07,development
Q08,GCP で、データエンジニア向けの ML 関連案件は？,クラウドが GCP、職種がデータエンジニア、中身が ML 寄り。AWSのDE案件は除外,"P006, P011, P022",横断,半々,Q08,development
Q09,MLOps として専門性を上げるために経験できる案件は？,学習・serving・特徴量・実験管理・モデル監視など。職種がインフラ／DE／SE でも、MLシステムに接続していれば含める。「ただのk8s運用」「ただのETL」は除外,"P001, P002, P003, P004, P006, P008, P010, P011, P013, P014, P015, P016, P017, P018, P019, P020, P021, P022, P023, P024, P026, P027, P028",周辺,必要,Q09,development
Q10,今インフラ寄りの経験を、MLOps に繋げるならどの案件？,Terraform / k8s / CI/CD / 監視のうち、モデル実行基盤・推論基盤・MLパイプライン基盤に触れる行。Webアプリの普通のインフラ案件は除外,"P004, P013, P015, P018, P020, P021, P028",周辺,必要,Q10,development
Q11,データエンジニア側から MLOps に近づける案件は？,特徴量パイプライン、学習用データ品質、学習データ基盤など。DWH構築だけの案件は除外,"P006, P010, P011, P019, P022, P027, P028",周辺,必要,Q11,development
Q12,ソフトウェアエンジニアとして、推論APIや ML システムの実装に関われる案件は？,FastAPI 等で推論を出す、学習パイプラインをコード化する、ML基盤のAPIを書く行。CRUDの業務アプリは除外,"P008, P024",周辺,必要,Q12,development
Q13,MLOps 周辺の案件全体で、よく出るスキルや業務の傾向は？,個別案件の列挙でなく、学習基盤・推論基盤・監視・特徴量などの傾向。1件のコピペ要約は不合格,"P001, P002, P003, P004, P006, P008, P010, P011, P013, P014, P015, P016, P017, P018, P019, P020, P021, P022, P023, P024, P026, P027, P028",全体像,必要,Q13,development
