案件ID,ノードID
P001,N_JOB_MLOPS
P001,N_WORK_EXPERIMENT
P001,N_WORK_TRAIN
P001,N_SKILL_PYTHON
P001,N_SKILL_MLFLOW
P001,N_SKILL_SAGEMAKER
P001,N_SKILL_AWS
P002,N_JOB_MLOPS
P002,N_WORK_MONITOR
P002,N_SKILL_PYTHON
P002,N_SKILL_CLOUDWATCH
P002,N_SKILL_PROMETHEUS
P002,N_SKILL_GRAFANA
P003,N_JOB_MLOPS
P003,N_WORK_TRAIN
P003,N_WORK_EXPERIMENT
P003,N_SKILL_PYTHON
P003,N_SKILL_SKLEARN
P003,N_SKILL_MLFLOW
P003,N_SKILL_AWS
P003,N_SKILL_AIRFLOW
P004,N_JOB_INFRA
P004,N_WORK_SERVING
P004,N_SKILL_K8S
P004,N_SKILL_TERRAFORM
P004,N_SKILL_AWS
P004,N_SKILL_DOCKER
P004,N_SKILL_GPU
P005,N_JOB_INFRA
P005,N_WORK_WEB_OPS
P005,N_SKILL_K8S
P005,N_SKILL_TERRAFORM
P005,N_SKILL_AWS
P005,N_SKILL_DATADOG
P006,N_JOB_DE
P006,N_WORK_FEATURE
P006,N_SKILL_PYTHON
P006,N_SKILL_BIGQUERY
P006,N_SKILL_DATAFLOW
P006,N_SKILL_VERTEX
P006,N_SKILL_GCP
P006,N_SKILL_SQL
P007,N_JOB_DE
P007,N_WORK_DWH
P007,N_SKILL_SQL
P007,N_SKILL_SNOWFLAKE
P007,N_SKILL_DBT
P007,N_SKILL_AWS
P008,N_JOB_SWE
P008,N_WORK_INFER_API
P008,N_SKILL_PYTHON
P008,N_SKILL_FASTAPI
P008,N_SKILL_DOCKER
P008,N_SKILL_AWS
P008,N_SKILL_REST
P009,N_JOB_SWE
P009,N_WORK_APP
P009,N_SKILL_JAVA
P009,N_SKILL_SPRING
P009,N_SKILL_SQLSERVER
P009,N_SKILL_AZURE
P010,N_JOB_MLOPS
P010,N_WORK_FEATURE
P010,N_WORK_MONITOR
P010,N_SKILL_PYTHON
P010,N_SKILL_AIRFLOW
P010,N_SKILL_SPARK
P010,N_SKILL_PROMETHEUS
P010,N_SKILL_AWS
P011,N_JOB_DE
P011,N_WORK_FEATURE
P011,N_SKILL_PYTHON
P011,N_SKILL_GCP
P011,N_SKILL_BIGQUERY
P011,N_SKILL_VERTEX
P011,N_SKILL_SQL
P012,N_JOB_DE
P012,N_WORK_BI
P012,N_SKILL_PYTHON
P012,N_SKILL_PANDAS
P012,N_SKILL_TABLEAU
