エッジID,出発ノードID,到着ノードID,関係,強さ
E001,N_JOB_MLOPS,N_WORK_TRAIN,包含,1
E002,N_JOB_MLOPS,N_WORK_SERVING,包含,1
E003,N_JOB_MLOPS,N_WORK_EXPERIMENT,包含,1
E004,N_JOB_MLOPS,N_WORK_MONITOR,包含,1
E005,N_JOB_MLOPS,N_WORK_FEATURE,包含,1
E006,N_JOB_MLOPS,N_WORK_TRAIN_INFRA,包含,0.8
E007,N_JOB_MLOPS,N_WORK_INFER_API,包含,0.8
E008,N_JOB_MLOPS,N_WORK_QUALITY,関連,0.8
E009,N_JOB_INFRA,N_WORK_SERVING,関連,0.8
E010,N_JOB_INFRA,N_WORK_TRAIN_INFRA,関連,0.8
E011,N_JOB_INFRA,N_WORK_MONITOR,関連,0.8
E012,N_JOB_INFRA,N_WORK_WEB_OPS,関連,0.8
E013,N_JOB_DE,N_WORK_FEATURE,関連,0.8
E014,N_JOB_DE,N_WORK_QUALITY,関連,0.8
E015,N_JOB_DE,N_WORK_DWH,関連,0.8
E016,N_JOB_DE,N_WORK_BI,関連,0.8
E017,N_JOB_SWE,N_WORK_INFER_API,関連,0.8
E018,N_JOB_SWE,N_WORK_APP,関連,0.8
E019,N_WORK_INFER_API,N_WORK_SERVING,関連,0.8
E020,N_WORK_TRAIN_INFRA,N_WORK_TRAIN,関連,0.8
E021,N_WORK_SERVING,N_SKILL_K8S,使用,0.9
E022,N_WORK_SERVING,N_SKILL_DOCKER,使用,0.9
E023,N_WORK_SERVING,N_SKILL_GPU,使用,0.9
E024,N_WORK_SERVING,N_SKILL_GKE,使用,0.9
E025,N_WORK_SERVING,N_SKILL_TENSORRT,使用,0.9
E026,N_WORK_TRAIN,N_SKILL_PYTHON,使用,0.9
E027,N_WORK_TRAIN,N_SKILL_SAGEMAKER,使用,0.9
E028,N_WORK_TRAIN,N_SKILL_SKLEARN,使用,0.9
E029,N_WORK_TRAIN,N_SKILL_AZUREML,使用,0.9
E030,N_WORK_TRAIN,N_SKILL_AIRFLOW,使用,0.9
E031,N_WORK_EXPERIMENT,N_SKILL_MLFLOW,使用,0.9
E032,N_WORK_EXPERIMENT,N_SKILL_AZUREML,使用,0.9
E033,N_WORK_MONITOR,N_SKILL_PROMETHEUS,使用,0.9
E034,N_WORK_MONITOR,N_SKILL_GRAFANA,使用,0.9
E035,N_WORK_MONITOR,N_SKILL_CLOUDWATCH,使用,0.9
E036,N_WORK_MONITOR,N_SKILL_DATADOG,使用,0.9
E037,N_WORK_FEATURE,N_SKILL_PYTHON,使用,0.9
E038,N_WORK_FEATURE,N_SKILL_SQL,使用,0.9
E039,N_WORK_FEATURE,N_SKILL_AIRFLOW,使用,0.9
E040,N_WORK_FEATURE,N_SKILL_BIGQUERY,使用,0.9
E041,N_WORK_FEATURE,N_SKILL_DATAFLOW,使用,0.9
E042,N_WORK_FEATURE,N_SKILL_FEAST,使用,0.9
E043,N_WORK_FEATURE,N_SKILL_SPARK,使用,0.9
E044,N_WORK_QUALITY,N_SKILL_GE,使用,0.9
E045,N_WORK_QUALITY,N_SKILL_AIRFLOW,使用,0.9
E046,N_WORK_TRAIN_INFRA,N_SKILL_K8S,使用,0.9
E047,N_WORK_TRAIN_INFRA,N_SKILL_TERRAFORM,使用,0.9
E048,N_WORK_TRAIN_INFRA,N_SKILL_ARGO_WF,使用,0.9
E049,N_WORK_TRAIN_INFRA,N_SKILL_ARGOCD,使用,0.9
E050,N_WORK_TRAIN_INFRA,N_SKILL_GPU,使用,0.9
E051,N_WORK_INFER_API,N_SKILL_FASTAPI,使用,0.9
E052,N_WORK_INFER_API,N_SKILL_REST,使用,0.9
E053,N_WORK_INFER_API,N_SKILL_TS,使用,0.9
E054,N_WORK_INFER_API,N_SKILL_NEXT,使用,0.9
E055,N_WORK_WEB_OPS,N_SKILL_K8S,使用,0.9
E056,N_WORK_WEB_OPS,N_SKILL_TERRAFORM,使用,0.9
E057,N_WORK_DWH,N_SKILL_SNOWFLAKE,使用,0.9
E058,N_WORK_DWH,N_SKILL_DBT,使用,0.9
E059,N_WORK_BI,N_SKILL_TABLEAU,使用,0.9
E060,N_WORK_APP,N_SKILL_JAVA,使用,0.9
